id_City,Name,country_id
0,Berlin,3
1,Munich,3
2,Dortmund,3
3,Sttutgart,3
4,Gelsenkirchen,3
5,Hamburg,3
6,Frankfurt,3
7,Kaiserslautern,3
8,Cologne,3
9,Hannover,3
10,Leipzig,3
11,Nuremberg,3
12,Daegu,2
13,Seoul,2
14,Busan,2
15,Incheon,2
16,Ulsan,2
17,Suwon,2
18,Gwangju,2
19,Jeonju,2
20,Seogwipo,2
21,Daejeon,2
22,Yokohama,2
23,Saitama,2
24,Shizuoka,2
25,Osaka,2
26,Miyagi,2
27,Oita,2
28,Niigata,2
29,Kashima,2
30,Kobe,2
31,Sapporo,2
32,Saint-Denis,1
33,Marseille,1
34,Paris,1
35,Lyon,1
36,Lens,1
37,Nantes,1
38,Toulouse,1
39,Saint-Etienne,1
40,Bordeaux,1
41,Montpellier,1
42,Pasadena,0
43,Stanford,0
44,Pontiac,0
45,East Rutherford,0
46,Dallas,0
47,Chicago,0
48,Orlando,0
49,Foxborough,0
50,Washington DC,0
51,Johannesburg,4
52,Rio de Janeiro,5
53,Moscow,6
54,Rome,7
55,Mexico City,8
56,Madrid,9
57,Buenos Aires,10
58,London,11
59,Santiago,12
60,Solna,13
61,Bern,14
62,Colombes,1
63,Montevideo,15
64,Turin,7
65,Naples,7
66,Florence,7
