id_Game,id_world_cup,Description,Date,id_stadium,Attendance,id_referee,id_home_team,id_away_team,id_home_coach,id_away_coach,Home_Score,Away_Score
0,16,Final,2002-06-30,22,69029,0,8,4,0,1,0,2
1,17,Final,2006-07-09,0,69000,1,18,27,2,3,1,1
2,18,Final,2010-07-11,51,84490,2,20,9,4,5,0,0
3,19,Final,2014-07-13,52,74738,3,8,14,6,7,0,0
4,20,Final,2018-07-15,53,78011,4,27,35,8,9,4,2
5,15,Final,1998-07-12,32,75000,5,4,27,13,11,0,3
6,14,Final,1994-07-17,42,94194,6,4,18,12,10,0,0
7,13,Final,1990-07-08,54,73603,7,8,14,14,15,1,0
8,12,Final,1986-06-29,55,114600,8,14,8,15,14,3,2
9,11,Final,1982-07-11,56,90000,9,18,8,16,17,3,1
10,10,Final,1978-06-25,57,71483,10,14,20,18,19,1,1
11,9,Final,1974-07-07,58,75200,11,20,8,20,21,1,2
12,8,Final,1970-06-21,55,107412,12,4,18,13,22,4,1
13,7,Final,1966-07-30,59,96924,13,33,8,23,21,2,2
14,6,Final,1962-06-17,60,68679,14,4,52,24,25,3,1
15,5,Final,1958-06-29,61,49737,15,4,5,26,27,5,2
16,4,Final,1954-07-04,62,62500,16,8,57,28,29,3,2
17,3,Final *2nd Group Stage,1950-07-16,52,173850,17,39,4,30,31,2,1
18,2,Final,1938-06-19,63,45000,18,18,57,32,33,4,2
19,1,Final,1934-06-10,64,55000,19,18,52,32,34,1,1
20,0,Final,1930-07-30,65,68346,20,39,14,35,36,4,2
21,16,Group Stage (Group C),2002-06-03,16,33842,21,4,41,1,37,2,1
22,16,Group Stage (Group C),2002-06-08,20,36750,22,4,43,1,38,4,0
23,16,Group Stage (Group C),2002-06-13,17,38524,23,42,4,39,1,2,5
24,16,Round of 16,2002-06-17,30,40440,24,4,22,1,40,2,0
25,16,Quarter Final,2002-06-21,24,47436,25,33,4,41,1,1,2
26,16,Semi Final,2002-06-26,23,61058,26,4,41,1,37,1,0
27,16,Group Stage (Group E),2002-06-01,31,32218,27,8,21,0,42,8,0
28,16,Group Stage (Group E),2002-06-05,29,35854,26,8,17,0,43,1,1
29,16,Group Stage (Group E),2002-06-11,24,47085,28,7,8,44,0,0,2
30,16,Round of 16,2002-06-15,20,25176,29,8,30,0,45,1,0
31,16,Quarter Final,2002-06-21,16,37337,30,8,2,0,46,1,0
32,16,Semi Final,2002-06-25,13,65256,31,8,10,0,47,1,0
33,16,Third Place Match,2002-06-29,12,63483,32,10,41,47,37,2,3
34,17,Third Place Match,2006-07-08,3,52000,33,8,44,48,1,3,1
35,17,Group Stage (Group E),2006-06-12,9,43000,34,18,51,2,49,2,0
36,17,Group Stage (Group E),2006-06-17,7,46000,35,18,2,2,46,1,1
37,17,Group Stage (Group E),2006-06-22,5,50000,36,52,18,50,2,0,2
38,17,Round of 16,2006-06-26,7,46000,37,18,53,2,47,1,0
39,17,Quarter Final,2006-06-30,5,50000,38,18,55,2,51,3,0
40,17,Semi Final,2006-07-04,2,65000,36,8,18,48,2,0,0
41,17,Group Stage - Group G,2006-06-13,3,52000,39,27,1,3,52,0,0
42,17,Group Stage - Group G,2006-06-18,10,43000,36,27,10,3,53,1,1
43,17,Group Stage - Group G,2006-06-23,8,45000,35,54,27,54,3,0,2
44,17,Round of 16,2006-06-27,9,43000,40,9,27,55,3,1,3
45,17,Quarter Final,2006-07-01,6,48000,37,4,27,12,3,0,1
46,17,Semi Final,2006-07-05,1,66000,35,44,27,1,3,0,1
47,17,Quarter Final,2006-06-30,0,72000,41,8,14,48,56,1,1
48,17,Quarter Final,2006-07-01,4,52000,1,33,44,1,41,0,0
49,17,Round of 16,2006-06-24,10,43000,42,14,16,56,57,1,1
50,17,Round of 16,2006-06-26,8,45000,36,1,55,52,51,0,0
