id_Goal,id_game,id_player,Minute
0,0,0,67
1,0,0,79
2,1,1,7
3,2,3,117
4,3,4,113
5,67,209,86
6,4,6,28
7,4,7,38
8,4,8,59
9,4,9,65
10,4,5,69
11,5,1,27
12,5,1,45
13,5,26,90
14,7,11,85
15,8,12,23
16,8,25,55
17,8,47,74
18,8,15,80
19,8,16,83
20,9,17,57
21,9,18,69
22,9,19,81
23,9,20,83
24,10,21,38
25,10,22,82
26,10,21,105
27,10,23,116
28,11,24,2
29,11,20,25
30,11,13,43
31,12,10,18
32,12,27,37
33,12,28,66
34,12,29,71
35,12,30,86
36,21,115,45
37,21,0,50
38,21,92,87
39,22,116,15
40,22,92,32
41,22,117,45
42,22,0,55
43,23,0,10
44,23,0,13
45,23,118,38
46,23,119,39
47,23,120,56
48,23,92,62
49,23,121,64
50,24,92,67
51,24,0,87
52,25,112,23
53,25,92,45
54,25,117,50
55,26,0,49
56,27,70,20
57,27,70,25
58,27,122,40
59,27,123,45
60,27,70,70
61,27,124,73
62,27,125,84
63,27,126,90
64,28,70,19
65,28,127,90
66,29,128,50
67,29,70,79
68,30,129,88
69,31,122,39
70,32,122,75
71,33,130,1
72,33,131,9
73,33,132,13
74,33,132,32
75,33,133,90
76,34,134,56
77,34,134,78
78,34,135,88
79,35,51,40
80,35,137,83
81,36,138,22
82,37,2,26
83,37,140,87
84,38,141,90
85,39,142,6
86,39,143,59
87,39,143,69
88,40,144,119
89,40,145,120
90,42,165,9
91,42,166,81
92,43,167,55
93,43,165,61
94,44,52,28
95,44,168,41
96,44,167,83
97,44,1,90
98,45,165,57
99,46,1,33
100,13,84,12
101,13,99,18
102,13,169,78
103,13,170,89
104,13,99,101
105,13,99,120
106,14,171,15
107,14,172,17
108,14,173,69
109,14,60,78
110,15,174,3
111,15,60,9
112,15,60,32
113,15,10,55
114,15,175,68
115,15,176,80
116,15,10,90
117,16,177,6
118,16,178,8
119,16,82,10
120,16,83,18
121,16,83,84
122,17,179,47
123,17,180,66
124,17,181,79
125,18,182,6
126,18,183,8
127,18,78,19
128,18,182,32
129,18,76,70
130,18,78,82
131,19,184,71
132,19,185,81
133,19,75,95
134,20,186,12
135,20,187,20
136,20,54,37
137,20,73,57
138,20,188,68
139,20,189,89
140,47,190,48
141,47,70,79
142,49,191,5
143,49,93,10
144,49,192,98
145,52,132,97
146,53,193,8
147,53,127,90
148,54,91,18
149,54,194,88
150,54,195,119
151,55,196,11
152,55,197,37
153,55,197,107
154,56,0,46
155,56,198,87
156,58,90,6
157,58,199,10
158,58,112,16
159,58,200,45
160,59,201,113
161,60,202,78
162,60,203,88
163,60,203,101
164,60,103,115
165,61,48,6
166,61,204,18
167,62,205,25
168,62,40,88
169,62,40,100
170,63,11,60
171,63,68,80
172,64,32,17
173,64,206,67
174,1,2,19
