id_Player,Name,Position,Participations,Titles,Games,Wins,Draws,Losses,Goals,Yellow_Cards,Red_Cards,team_id
0,Ronaldo,Forward,4,2,19,15,1,3,15,2,0,4
1,Zinedine Zidane,Midfielder,3,1,12,7,4,1,5,4,2,27
2,Marco Materazzi,Defender,2,1,5,3,1,1,2,0,1,18
3,Andres Iniesta,Midfielder,4,1,14,8,3,3,2,1,0,9
4,Mario Gotze,Midfielder,1,1,6,5,1,0,2,0,0,8
5,Mario Mandzukic,Forward,2,0,8,4,2,2,5,2,0,35
6,Ivan Perisic,Forward,2,0,10,5,2,3,5,0,0,35
7,Antoine Griezmann,Forward,2,1,12,9,2,1,4,0,0,27
8,Paul Pogba,Midfielder,2,1,11,9,1,1,2,2,0,27
9,Kylian Mbappe,Forward,1,1,7,6,1,0,4,2,0,27
26,Emmanuel Petit,Midfielder,2,1,7,5,1,1,2,3,0,27
11,Andreas Brehme,Defender/Midfielder,3,1,16,9,4,3,4,4,0,8
12,Jose Luis Brown,Defender,1,1,7,6,1,0,1,1,0,14
25,Jorge Valdano,Forward,2,1,9,7,1,1,4,1,0,14
14,Jorg Bohme,Midfielder,1,0,0,0,0,0,0,0,0,8
15,Rudi Voller,Forward,3,1,15,8,4,3,8,3,1,8
16,Jorge Burruchaga,Midfielder,2,1,14,8,4,2,3,1,0,14
17,Paolo Rossi,Forward,3,1,14,8,4,2,9,1,0,18
18,Marco Tardelli,Midfielder,3,1,13,8,4,1,2,3,0,18
19,Alessandro Altobelli,Forward,2,1,7,4,2,1,5,0,0,18
20,Paul Breitner,Midfielder,2,1,14,9,2,3,4,0,0,8
21,Mario Kempes,Forward,3,1,18,8,3,7,6,1,0,14
22,Dick Nanninga,Forward,1,0,3,0,2,1,1,0,1,20
23,Daniel Bertoni,Forward,2,1,11,6,1,4,4,1,0,14
24,Johan Neeskens,Midfielder,2,0,12,7,2,3,5,2,0,20
13,Gerd Muller,Forward,2,1,13,11,0,2,14,2,0,8
10,Pele,Forward,4,3,14,12,1,1,12,0,0,4
27,Roberto Boninsegna,Forward,2,0,7,3,2,2,2,1,0,18
28,Gerson,Midfielder,2,1,5,4,0,1,1,0,0,4
29,Jairzinho,Forward,3,1,16,10,2,4,9,2,0,4
30,Carlos Alberto,Defender,1,1,6,6,0,0,1,0,0,4
31,Maradona,Midfielder,4,1,21,12,4,5,8,4,1,14
32,Salvatore Schillaci,Forward,1,0,7,6,1,0,6,0,0,18
33,Romario,Forward,2,1,8,6,2,0,5,0,0,4
34,Oliver Kahn,Goalkeeper,4,0,8,6,1,1,0,1,0,8
35,Diego Forlan,Midfielder,3,0,10,3,3,4,6,1,0,39
36,Lionel Messi,Forward,4,0,19,12,3,4,6,1,0,14
37,Luka Modric,Midfielder,3,0,12,5,4,3,2,0,0,35
38,Falcao,Midfielder,2,0,7,6,0,1,3,1,0,4
39,Lothar Matthaus,Midfielder,5,1,25,15,6,4,6,5,0,8
40,Roberto Baggio,Forward,3,0,16,10,5,1,9,1,0,18
41,Davor Suker,Forward,3,0,8,5,0,3,6,1,0,35
42,Fabio Cannavaro,Defender,4,1,18,9,7,2,0,4,0,18
