id_Team,Name,Confederation,Participations,Games,Wins,Draws,Losses,Goals_Scored,Goals_Against
0,Romania,UEFA,7,21,8,5,8,30,32
1,Switzerland,UEFA,12,37,12,8,17,50,64
2,USA,CONCACAF,11,33,8,6,19,37,62
3,Colombia,CONMEBOL,6,22,9,3,10,32,30
4,Brazil,CONMEBOL,22,109,73,18,18,229,105
5,Sweden,UEFA,12,51,19,13,19,80,73
6,Russia,UEFA,11,45,19,10,16,77,54
7,Cameroon,CAF,8,23,4,7,12,18,43
8,Germany,UEFA,20,109,67,20,22,226,125
9,Spain,UEFA,16,63,30,15,18,99,72
10,South Korea,AFC,11,34,6,9,19,34,70
11,Bolivia,CONMEBOL,3,6,0,1,5,1,20
12,Nigeria,CAF,6,21,6,3,12,23,30
13,Bulgaria,UEFA,7,26,3,8,15,22,53
14,Argentina,CONMEBOL,18,81,43,15,23,137,93
15,Greece,UEFA,3,10,2,2,6,5,20
16,Mexico,CONCACAF,17,57,16,14,27,60,98
17,Ireland,UEFA,3,13,2,8,3,10,10
18,Italy,UEFA,18,83,45,21,17,128,77
19,Norway,UEFA,3,8,2,3,3,7,8
20,Netherlands,UEFA,11,50,27,12,11,86,48
21,Saudi Arabia,AFC,6,16,3,2,11,11,39
22,Belgium,UEFA,14,48,20,9,19,68,72
23,Morocco,CAF,6,16,2,5,9,14,22
24,Scotland,UEFA,8,23,4,7,12,25,41
25,Chile,CONMEBOL,9,33,11,7,15,40,49
26,Austria,UEFA,7,29,12,4,13,43,47
27,France,UEFA,16,66,34,13,19,120,77
28,Denmark,UEFA,6,20,9,5,6,30,26
29,South Africa,CAF,3,9,2,4,3,11,16
30,Paraguay,CONMEBOL,8,27,7,10,10,30,38
31,Serbia,UEFA,13,46,18,8,20,66,63
32,Iran,AFC,6,15,2,4,9,9,24
33,England,UEFA,16,69,29,21,19,91,64
34,Tunisia,CAF,6,15,2,4,9,13,25
35,Croatia,UEFA,6,23,11,4,8,35,26
36,Jamaica,CONCACAF,1,3,1,0,2,3,9
37,Japan,AFC,7,21,5,5,11,20,29
38,Senegal,CAF,3,8,3,3,2,11,10
39,Uruguay,CONMEBOL,14,56,24,12,20,87,74
40,Slovenia,UEFA,2,6,1,1,4,5,10
41,Turkey,UEFA,2,10,5,1,4,20,17
42,Costa Rica,CONCACAF,6,18,5,5,8,19,28
43,China,AFC,1,3,0,0,3,0,9
44,Portugal,UEFA,8,30,14,6,10,49,35
45,Poland,UEFA,9,34,16,5,13,46,45
46,Ecuador,CONMEBOL,4,10,4,1,5,10,11
47,Trinidad and Tobago,CONCACAF,1,3,0,1,2,0,4
48,Ivory Coast,CAF,3,9,3,1,5,13,14
50,Angola,CAF,1,3,0,2,1,1,2
51,Ghana,CAF,4,12,4,3,5,13,16
52,Czech Republic,UEFA,9,33,12,5,16,47,49
53,Australia,AFC,6,16,2,4,10,13,31
54,Togo,CAF,1,3,0,0,3,1,6
55,Ukraine,UEFA,1,5,2,1,2,5,7
56,Peru,CONMEBOL,5,18,5,3,10,21,33
57,Hungary,UEFA,9,32,15,3,14,87,57
